country,year,renewables_share_energy
Austria,2000,32.592
Austria,2001,30.668
Austria,2002,30.206
Austria,2003,25.238
Austria,2004,27.275
Austria,2005,27.495
Austria,2006,28.128
Austria,2007,30.25
Austria,2008,30.772
Austria,2009,33.782
Austria,2010,31.314
Austria,2011,30.306
Austria,2012,35.762
Austria,2013,35.309
Austria,2014,36.303
Austria,2015,34.274
Austria,2016,35.305
Austria,2017,34.456
Austria,2018,34.362
Austria,2019,35.473
Austria,2020,38.189
Austria,2021,35.835
Austria,2022,36.067
Austria,2023,40.08
Belgium,2000,0.433
Belgium,2001,0.449
Belgium,2002,0.48
Belgium,2003,0.487
Belgium,2004,0.606
Belgium,2005,0.867
Belgium,2006,1.21
Belgium,2007,1.415
Belgium,2008,1.764
Belgium,2009,2.555
Belgium,2010,3.191
Belgium,2011,4.078
Belgium,2012,5.148
Belgium,2013,5.46
Belgium,2014,6.152
Belgium,2015,6.798
Belgium,2016,6.483
Belgium,2017,7.061
Belgium,2018,7.538
Belgium,2019,8.079
Belgium,2020,10.863
Belgium,2021,9.544
Belgium,2022,10.83
Belgium,2023,12.525
Denmark,2000,7.096
Denmark,2001,7.403
Denmark,2002,8.587
Denmark,2003,9.463
Denmark,2004,11.729
Denmark,2005,12.474
Denmark,2006,10.685
Denmark,2007,12.466
Denmark,2008,12.621
Denmark,2009,13.379
Denmark,2010,15.568
Denmark,2011,19.241
Denmark,2012,22.003
Denmark,2013,22.686
Denmark,2014,26.238
Denmark,2015,28.001
Denmark,2016,26.942
Denmark,2017,31.504
Denmark,2018,30.349
Denmark,2019,34.101
Denmark,2020,38.468
Denmark,2021,40.294
Denmark,2022,41.247
Denmark,2023,42.735
Finland,2000,19.816
Finland,2001,17.828
Finland,2002,16.365
Finland,2003,14.706
Finland,2004,19.62
Finland,2005,19.67
Finland,2006,17.649
Finland,2007,18.95
Finland,2008,22.497
Finland,2009,19.204
Finland,2010,19.707
Finland,2011,21.067
Finland,2012,25.105
Finland,2013,22.766
Finland,2014,24.83
Finland,2015,28.262
Finland,2016,26.694
Finland,2017,28.758
Finland,2018,28.736
Finland,2019,29.326
Finland,2020,33.454
Finland,2021,35.856
Finland,2022,35.683
Finland,2023,35.936
France,2000,6.722
France,2001,7.411
France,2002,6.164
France,2003,5.947
France,2004,5.953
France,2005,5.362
France,2006,5.966
France,2007,6.631
France,2008,7.625
France,2009,7.709
France,2010,8.211
France,2011,7.181
France,2012,9.038
France,2013,10.236
France,2014,10.241
France,2015,9.901
France,2016,10.735
France,2017,10.141
France,2018,11.916
France,2019,12.157
France,2020,14.716
France,2021,13.629
France,2022,14.592
France,2023,16.94
Germany,2000,2.887
Germany,2001,2.941
Germany,2002,3.539
Germany,2003,3.642
Germany,2004,4.517
Germany,2005,5.209
Germany,2006,6.026
Germany,2007,7.654
Germany,2008,7.818
Germany,2009,8.454
Germany,2010,8.792
Germany,2011,10.567
Germany,2012,11.9
Germany,2013,12.063
Germany,2014,13.335
Germany,2015,14.878
Germany,2016,14.666
Germany,2017,16.265
Germany,2018,17.168
Germany,2019,18.83
Germany,2020,21.124
Germany,2021,19.067
Germany,2022,21.361
Germany,2023,24.394
Greece,2000,3.285
Greece,2001,2.296
Greece,2002,2.783
Greece,2003,4.298
Greece,2004,4.292
Greece,2005,4.601
Greece,2006,5.45
Greece,2007,3.345
